-.2274377545,.2606375034,-.3821723172
-.2282123755,.2982196594,-.2941520480
-.2318059585,.3323753161,-.2137367371
-.2376127595,.3638407677,-.1388204350
-.2452465245,.3930855130,-.6805511482e-1
-.2544443035,.4204291719,-.5114687714e-3
-.2650189065,.4460992772,.6448791815e-1
-.2768329465,.4702628243,.1274594347
-.2897836085,.4930447871,.1888119057
-.3037932165,.5145395840,.2488800574
-.3188031535,.5348184620,.3079465957
-.3347698585,.5539343718,.3662575005
-.3516621465,.5719252198,.4240331391
-.2255915488,.2711708644,-.4540618784
-.2236535023,.3120503157,-.3582261724
-.2252434587,.3486414145,-.2724657878
-.2294636888,.3820353720,-.1936542963
-.2357800061,.4128814973,-.1199340393
-.2438450037,.4416020716,-.5008969445e-1
-.2534189984,.4684884334,.1673007791e-1
-.2643297877,.4937498981,.8115371273e-1
-.2764502140,.5175410274,.1436652906
-.2896847880,.5399778916,.2046515758
-.3039613090,.5611482502,.2644318738
-.3192254270,.5811181662,.3232780033
-.3354370380,.5999363902,.3814282923
-.2285829477,.2774268804,-.5389253063
-.2227944195,.3229866590,-.4313687585
-.2217596769,.3627681258,-.3381821795
-.2240028069,.3985652826,-.2541983424
-.2287330337,.4313393290,-.1766657557
-.2354685911,.4616758610,-.1039079848
-.2438913142,.4899616136,-.3480917841e-1
-.2537793804,.5164662169,.3142248015e-1
-.2649722690,.5413847850,.9537752428e-1
-.2773508949,.5648620675,.1575147956
-.2908256141,.5870070305,.2182037037
-.3053286414,.6079020675,.2777513848
-.3208090972,.6276090225,.3364210549
-.2388699945,.2765263392,-.6450628516
-.2268490572,.3296617195,-.5174525212
-.2221136945,.3739413562,-.4131634533
-.2217710448,.4128815737,-.3219761802
-.2245241339,.4480588650,-.2393570752
-.2296574174,.4803429902,-.1628176348
-.2367271697,.5102733030,-.9081254484e-1
-.2454369007,.5382101918,-.2229940352e-1
-.2555782354,.5644069421,.4346901113e-1
-.2669995574,.5890478450,.1070545384
-.2795879969,.6122700960,.1688967670
-.2932584511,.6341771400,.2293517996
-.3079465912,.6548471680,.2887174142
-.2639113575,.2595351047,-.7987207654
-.2382274907,.3292780165,-.6245263611
-.2275672401,.3807594580,-.5013831610
-.2235828346,.4241262942,-.3993973257
-.2237455635,.4624522134,-.3096522111
-.2268762103,.4971705792,-.2280302718
-.2323106334,.5290886624,-.1522223251
-.2396317090,.5587134866,-.8077449577e-1
-.2485583478,.5863867202,-.1269640284e-1
-.2588918432,.6123498962,.5272724102e-1
-.2704870416,.6367794492,.1160375658
-.2832356202,.6598070482,.1776601844
-.2970558220,.6815320712,.2379415066
-.3174592884+.5588825414e-1*I,.2098991623+.6793315288e-1*I,-1.047197551+.2044899153*I
-.2638864876,.3135415619,-.7768920156
-.2406102170,.3803579983,-.6110780095
-.2307965638,.4308103871,-.4906917778
-.2272952750,.4735899836,-.3901751701
-.2277883564,.5115143560,-.3013642420
-.2311681488,.5459298784,-.2203939365
-.2368025530,.5776048813,-.1450666366
-.2442912930,.6070259072,-.7398627900e-1
-.2533631432,.6345226342,-.6195722384e-2
-.2638256414,.6603290052,.5899976168e-1
-.2755378363,.6846163462,.1221278971
-.2883943795,.7075127132,.1836052143
-.3056217756+.1074910087*I,.2419475319+.1306572058*I,-1.047197552+.3863619670*I
-.3245225146+.5213093583e-1*I,.2574970723+.6336606653e-1*I,-1.047197552+.1909125375*I
-.2683534769,.3642952412,-.7669520107
-.2461129725,.4298526870,-.6047253310
-.2366876973,.4798329943,-.4855977172
-.2334121501,.5223381993,-.3857641047
-.2340609926,.5600732402,-.2973912442
-.2375588988,.5943451940,-.2167280389
-.2432884577,.6259045352,-.1416279749
-.2508571882,.6552283312,-.7072170734e-1
-.2599984590,.6826406762,-.3067547808e-2
-.2705227300,.7083719602,.6201962774e-1
-.2822910257,.7325911112,.1250612649
-.2953034934+.1447862043*I,.2746114517+.1759901701*I,-1.047197552+.5109365386*I
-.3142042333+.1078810113*I,.2901609929+.1311312609*I,-1.047197552+.3876976258*I
-.3331049717+.5288815952e-1*I,.3057105327+.6428648525e-1*I,-1.047197552+.1936517044*I
-.2774374738,.4118990747,-.7688743947
-.2549994851,.4776965625,-.6059646333
-.2454990094,.5277682783,-.4865936264
-.2421795505,.5703268586,-.3866273352
-.2427980236,.6080988139,-.2981691863
-.2462728688,.6423987992,-.2174461128
-.2519838312,.6739807442,-.1423017163
-.2595369188,.7033235542,-.7136146508e-1
-.2686646059,.7307524102,-.3680671556e-2
-.2791767858,.7564983932,.6142765852e-1
-.2867077644+.1775060405*I,.3079733033+.2157617046*I,-1.047197551+.6145867239*I
-.3056085029+.1471892822*I,.3235228432+.1789111534*I,-1.047197552+.5187341357*I
-.3245092418+.1109258822*I,.3390723837+.1348323547*I,-1.047197552+.3981027720*I
-.3434099814+.5854907379e-1*I,.3546219246+.7116742580e-1*I,-1.047197552+.2140827087*I
-.2918480594,.4558200646,-.7845720872
-.2677460859,.5236401576,-.6158903135
-.2576333625,.5744560700,-.4945322153
-.2539600063,.6174448192,-.3934934846
-.2543349604,.6555127770,-.3043492990
-.2576254512,.6900368480,-.2231460224
-.2631880606,.7217991190,-.1476466427
-.2706165377,.7512933940,-.7643460794e-1
-.2796361489,.7788536190,-.8540957086e-2
-.2801044635+.2083183660*I,.3421424310+.2532146265*I,-1.047197552+.7071207670*I
-.2990052041+.1816537327*I,.3576919728+.2208032973*I,-1.047197552+.6273315185*I
-.3179059423+.1519315415*I,.3732415125+.1846754527*I,-1.047197552+.5340371329*I
-.3368066823+.1168412750*I,.3887910538+.1420226186*I,-1.047197551+.4182000867*I
-.3557074212+.6858681299e-1*I,.4043405940+.8336847379e-1*I,-1.047197552+.2500902456*I
-.3132892749,.4944243161,-.8193030067
-.2851549162,.5671458412,-.6365250942
-.2737100015,.6195810571,-.5108110357
-.2692887233,.6634789182,-.4074880925
-.2691562433,.7021636705,-.3169024374
-.2720658164,.7371507535,-.2346980182
-.2773236310,.7692835075,-.1584621863
-.2844971453,.7990876955,-.8668809370e-1
-.2758645661+.2385484059*I,.3772691460+.2899597703*I,-1.047197551+.7931175856*I
-.2947653055+.2142654721*I,.3928186865+.2604434383*I,-1.047197552+.7244109585*I
-.3136660435+.1881425528*I,.4083682262+.2286905719*I,-1.047197552+.6470900062*I
-.3325667826+.1592768768*I,.4239177668+.1936038368*I,-1.047197551+.5575156479*I
-.3514675227+.1257942887*I,.4394673081+.1529051637*I,-1.047197551+.4483149156*I
-.3703682615+.8223660690e-1*I,.4550168485+.9996003775e-1*I,-1.047197551+.2985429675*I
-.3466672667,.5223495435,-.8895813521
-.3086252846,.6071139601,-.6716654453
-.2947084261,.6625538661,-.5377640662
-.2889783807,.7080425572,-.4303900517
-.2879815604,.7477779302,-.3373137214
-.2902524193,.7835413812,-.2534046066
-.2950044527,.8162889222,-.1759261546
-.2745222151+.2691238773*I,.4135698663+.3271247919*I,-1.047197552+.8754045531*I
-.2934229548+.2465416778*I,.4291194071+.2996757322*I,-1.047197552+.8150776368*I
-.3123236943+.2227588670*I,.4446689481+.2707673090*I,-1.047197552+.7487864936*I
-.3312244319+.1973418464*I,.4602184875+.2398724746*I,-1.047197551+.6747249855*I
-.3501251720+.1695572793*I,.4757680286+.2060998458*I,-1.047197552+.5899122401*I
-.3690259106+.1379822982*I,.4913175689+.1677199030*I,-1.047197551+.4887037322*I
-.3879266500+.9905621866e-1*I,.5068671094+.1204045708*I,-1.047197551+.3573166218*I
